LIMS号,实验室号核心,原管编号,样本类型,存储规格,采血管品牌,样本计量,计量单位,样本包装量,包装单位,采血日期,入库前存放温度,入库前存放时间,献血人姓名,身份证号,联系电话,目标库位,目标样本盒,盒内位置,备注
,,12,Streck抗凝血,2ml,采血管品牌1,20,mL,1,管,2022.04.12,35,5,血液库导入,520202197703118062,,测试库位01201,第二次洗脱A-P/C-ctDNA-0543,1,
,,13,PBMC,3ml,采血管品牌2,20,mL,1,管,2022.04.12,35,5,血液库导入1,513701198705244210,15245632145,测试库位01201,第二次洗脱A-P/C-ctDNA-0543,2,
,,14,Bunny Tube抗凝血,4ml,采血管品牌3,20,mL,1,管,2022.04.12,35,5,血液库导入2,513624198105282191,15245632146,测试库位01201,第二次洗脱A-P/C-ctDNA-0543,3,
,,15,EDTA抗凝血,5ml,采血管品牌4,20,mL,1,管,2022.04.12,35,5,血液库导入3,513624198101033593,15245632147,测试库位01201,第二次洗脱A-P/C-ctDNA-0543,4,
,,16,血沉淀,6ml,采血管品牌5,20,mL,1,管,2022.04.12,35,5,血液库导入4,320828197912300214,15245632148,测试库位01201,第二次洗脱A-P/C-ctDNA-0543,5,
,,17,白细胞,7ml,采血管品牌6,20,mL,1,管,2022.04.12,35,5,血液库导入5,513022197709186192,15245632149,测试库位01201,第二次洗脱A-P/C-ctDNA-0543,6,
,,18,肝素抗凝血,8ml,采血管品牌7,20,mL,1,管,2022.04.12,35,5,血液库导入6,513021198801114771,15245632150,测试库位01201,第二次洗脱A-P/C-ctDNA-0543,7,
,,19,Streck抗凝血,9ml,采血管品牌8,20,mL,1,管,2022.04.12,35,5,血液库导入7,512929195902245055,15245632151,测试库位01201,第二次洗脱A-P/C-ctDNA-0543,8,
,,20,Roche抗凝血,9ml,采血管品牌9,20,mL,1,管,2022.04.12,35,5,血液库导入8,610321199803100834,15245632152,测试库位01201,第二次洗脱A-P/C-ctDNA-0543,9,
,,21,Ardent抗凝血,9ml,采血管品牌10,20,mL,1,管,2022.04.12,35,5,血液库导入9,512926196206025425,15245632153,测试库位01201,第二次洗脱A-P/C-ctDNA-0543,10,
,,22,血细胞,9ml,采血管品牌11,20,mL,1,管,2022.04.12,35,5,血液库导入10,512531197606035626,15245632154,测试库位01201,第二次洗脱A-P/C-ctDNA-0543,11,
,,23,cfDNA抗凝血,9ml,采血管品牌12,20,mL,1,管,2022.04.12,35,5,血液库导入11,512530197504247226,15245632155,测试库位01201,第二次洗脱A-P/C-ctDNA-0543,12,
,,24,非EDTA抗凝血,9ml,采血管品牌13,20,mL,1,管,2022.04.12,35,5,血液库导入12,512225196805277945,15245632156,测试库位01201,第二次洗脱A-P/C-ctDNA-0543,13,
,,25,其他血液,9ml,采血管品牌14,20,mL,1,管,2022.04.12,35,5,血液库导入13,512223196705072464,15245632157,测试库位01201,第二次洗脱A-P/C-ctDNA-0543,14,
,,26,HIGIA抗凝血,9ml,采血管品牌15,20,mL,1,管,2022.04.12,35,5,血液库导入14,511725200205105029,15245632158,测试库位01201,第二次洗脱A-P/C-ctDNA-0543,15,
,,27,外部血浆,9ml,采血管品牌16,20,mL,1,管,2022.04.12,35,5,血液库导入15,51162220020416521X,15245632159,测试库位01201,第二次洗脱A-P/C-ctDNA-0543,16,
,,28,血清,9ml,采血管品牌17,20,mL,1,管,2022.04.12,35,5,血液库导入16,511325198406240217,15245632160,测试库位01201,第二次洗脱A-P/C-ctDNA-0543,17,
